##CONFIG
MENSAGEM: Atenção redes! Verifiquem os prazos abaixo e concluam as etapas no SIMEC.
PRAZO_ENEC: 29/05/2026
PRAZO_PIEC: 06/05/2026
##FIMCONFIG
ID	UF	Município	Código IBGE	Esfera	Status Simec	Status Simec Piec
AC	AC			Estadual	Em preenchimento	Em análise do MEC
ACAcrelândia	AC	Acrelândia	1200013	Municipal	Em análise do MEC	Em análise do MEC
ACAssis Brasil	AC	Assis Brasil	1200054	Municipal	Em preenchimento	Em análise do MEC
ACBrasiléia	AC	Brasiléia	1200104	Municipal	Não Iniciado	Em análise do MEC
ACBujari	AC	Bujari	1200138	Municipal	Não Iniciado	Em análise do MEC
ACCapixaba	AC	Capixaba	1200179	Municipal	Em análise do MEC	Em análise do MEC
ACCruzeiro do Sul	AC	Cruzeiro do Sul	1200203	Municipal	Não Iniciado	Em análise do MEC
ACEpitaciolândia	AC	Epitaciolândia	1200252	Municipal	Não Iniciado	Em análise do MEC
ACFeijó	AC	Feijó	1200302	Municipal	Não Iniciado	Em análise do MEC
ACJordão	AC	Jordão	1200328	Municipal	Em preenchimento	Em análise do MEC
ACMâncio Lima	AC	Mâncio Lima	1200336	Municipal	Em análise do MEC	Em análise do MEC
ACManoel Urbano	AC	Manoel Urbano	1200344	Municipal	Em preenchimento	Em análise do MEC
ACMarechal Thaumaturgo	AC	Marechal Thaumaturgo	1200351	Municipal	Em preenchimento	Em análise do MEC
ACPlácido de Castro	AC	Plácido de Castro	1200385	Municipal	Em análise do MEC	Em análise do MEC
ACPorto Walter	AC	Porto Walter	1200393	Municipal	Em análise do MEC	Em análise do MEC
ACRio Branco	AC	Rio Branco	1200401	Municipal	Não Iniciado	Em análise do MEC
ACRodrigues Alves	AC	Rodrigues Alves	1200427	Municipal	Em análise do MEC	Em análise do MEC
ACSanta Rosa do Purus	AC	Santa Rosa do Purus	1200435	Municipal	Não Iniciado	Em análise do MEC
ACSenador Guiomard	AC	Senador Guiomard	1200450	Municipal	Não Iniciado	Em análise do MEC
ACSena Madureira	AC	Sena Madureira	1200500	Municipal	Não Iniciado	Em análise do MEC
ACTarauacá	AC	Tarauacá	1200609	Municipal	Em análise do MEC	Em análise do MEC
ACXapuri	AC	Xapuri	1200708	Municipal	Em preenchimento	Em análise do MEC
ACPorto Acre	AC	Porto Acre	1200807	Municipal	Em análise do MEC	Em análise do MEC
AL	AL			Estadual	Em preenchimento	Em análise do MEC
ALÁgua Branca	AL	Água Branca	2700102	Municipal	Em análise do MEC	Em análise do MEC
ALAnadia	AL	Anadia	2700201	Municipal	Em análise do MEC	Em análise do MEC
ALArapiraca	AL	Arapiraca	2700300	Municipal	Em análise do MEC	Em análise do MEC
ALAtalaia	AL	Atalaia	2700409	Municipal	Em análise do MEC	Em análise do MEC
ALBarra de Santo Antônio	AL	Barra de Santo Antônio	2700508	Municipal	Não Iniciado	Em análise do MEC
ALBarra de São Miguel	AL	Barra de São Miguel	2700607	Municipal	Em análise do MEC	Em análise do MEC
ALBatalha	AL	Batalha	2700706	Municipal	Não Iniciado	Em análise do MEC
ALBelém	AL	Belém	2700805	Municipal	Em análise do MEC	Em análise do MEC
ALBelo Monte	AL	Belo Monte	2700904	Municipal	Não Iniciado	Em análise do MEC
ALBoca da Mata	AL	Boca da Mata	2701001	Municipal	Em análise do MEC	Em análise do MEC
ALBranquinha	AL	Branquinha	2701100	Municipal	Em preenchimento	Em análise do MEC
ALCacimbinhas	AL	Cacimbinhas	2701209	Municipal	Em preenchimento	Em análise do MEC
ALCajueiro	AL	Cajueiro	2701308	Municipal	Não Iniciado	Em análise do MEC
ALCampestre	AL	Campestre	2701357	Municipal	Em análise do MEC	Em análise do MEC
ALCampo Alegre	AL	Campo Alegre	2701407	Municipal	Não Iniciado	Em análise do MEC
ALCampo Grande	AL	Campo Grande	2701506	Municipal	Em análise do MEC	Em análise do MEC
ALCanapi	AL	Canapi	2701605	Municipal	Em análise do MEC	Em análise do MEC
ALCapela	AL	Capela	2701704	Municipal	Em análise do MEC	Em análise do MEC
ALCarneiros	AL	Carneiros	2701803	Municipal	Em análise do MEC	Em análise do MEC
ALChã Preta	AL	Chã Preta	2701902	Municipal	Não Iniciado	Em análise do MEC
ALCoité do Nóia	AL	Coité do Nóia	2702009	Municipal	Em análise do MEC	Em análise do MEC
ALColônia Leopoldina	AL	Colônia Leopoldina	2702108	Municipal	Em análise do MEC	Em análise do MEC
ALCoqueiro Seco	AL	Coqueiro Seco	2702207	Municipal	Não Iniciado	Em análise do MEC
ALCoruripe	AL	Coruripe	2702306	Municipal	Em análise do MEC	Em análise do MEC
ALCraíbas	AL	Craíbas	2702355	Municipal	Em análise do MEC	Em análise do MEC
